"結帳時間","類型","單號/交易序號","","發票號碼","銷售金額","實收金額","服務費","折扣","稅額","支付方式","員工",""
"2022/08/1000:42","內用","13
2022081000400014
","","","275","275","25","0","0","=""現金""","-(000000)90466979",""
"2022/08/1001:32","內用","11
2022081000200012
","","","2,211","2,211","201","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1001:43","內用","6
2022080921220006
","","","2,332","2,332","212","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1001:46","內用","6-1
2022081001410017
","","","1,078","1,078","98","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1001:47","內用","3
2022080919440003
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1001:52","內用","16
2022081001490018
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1020:21","內用","5
2022081019240005
 作廢2022/08/10 20:22","","","418","418","38","0","0","=""現金""","-(000000)90466979",""
"2022/08/1020:23","內用","6
2022081020230006
","","DK09469935","418","418","38","0","20","=""現金""","-(000000)90466979",""
"2022/08/1020:44","內用","7
2022081020290007
","","","352","352","32","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1021:00","內用","2
2022081017440002
","","","9,317","9,317","847","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1021:12","內用","4
2022081019000004
","","","2,288","2,168","208","120","0","=""funNow、信用卡""","-(000000)90466979",""
"2022/08/1022:05","內用","11
2022081022040011
","","DK09469936","440","440","40","0","21","=""信用卡""","-(000000)90466979",""
"2022/08/1023:01","內用","13
2022081023000013
","","","100","100","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1023:20","內用","12
2022081022440012
","","","946","946","86","0","0","=""現金""","-(000000)90466979",""
"2022/08/1100:30","內用","10
2022081022040010
","","","1,254","878","114","376","0","=""現金""","-(000000)90466979",""
"2022/08/1101:21","內用","14
2022081100080014
","","","2,002","2,002","182","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1101:24","內用","15
2022081100350015
","","","286","286","26","0","0","=""現金""","-(000000)90466979",""
"2022/08/1101:28","內用","3
2022081018030003
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1102:06","內用","1
2022081102000001
","","","836","836","76","0","0","=""現金""","-(000000)90466979",""
"2022/08/1117:49","內用","6
2022081117480006
","","","100","100","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1118:01","內用","15
2022081001360016
","","","350","350","0","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1120:45","內用","8
2022081120430008
","","","125","125","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1121:29","內用","2
2022081117440002
","","","5,049","5,049","459","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1121:59","內用","3-1
2022081121590010
","","","418","418","38","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1122:32","內用","3-2
2022081122310011
","","","1,298","1,298","118","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1123:52","內用","9
2022081121500009
","","","2,233","1,983","203","250","0","=""信用卡""","-(000000)90466979",""
"2022/08/1123:57","內用","4
2022081117440004
","","","3,476","3,476","316","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1200:29","內用","3
2022081117440003
","","","3,509","3,509","319","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1201:07","內用","10
2022081200200013
","","DK09469937","1,408","1,408","128","0","67","=""現金""","-(000000)90466979",""
"2022/08/1201:32","內用","5
2022081117440005
","","","1,672","1,672","152","0","0","=""現金""","-(000000)90466979",""
"2022/08/1201:33","內用","12
2022081201250015
","","","550","300","50","250","0","=""現金""","-(000000)90466979",""
"2022/08/1201:34","內用","11
2022081201150014
","","","275","275","25","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1201:36","內用","7
2022081118000007
","","","0","0","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1219:06","內用","11
2022081218010011
","","","1,441","1,441","131","0","0","=""LINE Pay""","-(000000)90466979",""
"2022/08/1219:13","內用","9
2022081217420009
","","","2,860","2,860","260","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1220:49","內用","12
2022081218230012
","","","2,541","2,541","231","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1221:23","內用","5
2022081217420005
","","","6,061","6,061","551","0","0","=""現金""","-(000000)90466979",""
"2022/08/1221:35","內用","16
2022081220390016
","","","1,936","1,816","176","120","0","=""funNow、信用卡""","-(000000)90466979",""
"2022/08/1221:50","內用","6
2022081217420006
","","","2,948","2,948","268","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1222:08","內用","15
2022081220350015
","","","1,200","1,200","0","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1222:23","內用","13
2022081219280013
","","","3,465","3,465","315","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1222:33","內用","2
2022081217410002
","","","5,335","5,335","485","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1222:46","內用","8
2022081217420008
","","","1,980","1,980","180","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1222:52","內用","17
2022081221120017
","","","715","715","65","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1223:27","內用","4
2022081217410004
","","","4,180","4,180","380","0","0","=""現金""","-(000000)90466979",""
"2022/08/1223:41","內用","19
2022081221290019
","","","1,661","1,661","151","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1223:46","內用","3
2022081217410003
","","","5,159","5,159","469","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1223:50","內用","21
2022081221400021
","","DK09469938","5,456","5,456","496","0","260","=""現金""","-(000000)90466979",""
"2022/08/1300:16","內用","10
2022081217420010
","","","3,850","3,850","350","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1300:55","內用","25
2022081223080025
","","","2,288","2,288","208","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1300:56","內用","30
2022081300560030
","","","100","100","0","0","0","=""現金""","-(000000)90466979",""
"2022/08/1301:03","內用","7
2022081217420007
","","","7,876","7,876","716","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1301:11","內用","24
2022081222400024
","","","1,408","1,408","128","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1301:23","內用","29
2022081300110029
","","","1,793","1,793","163","0","0","=""信用卡""","-(000000)90466979",""
"2022/08/1301:29","內用","14
2022081219310014
","","","5,027","5,027","457","0","0","=""現金""","-(000000)90466979",""
