sales_date,product_type,product_name,product_price,product_amount,sales_price,discount,discount_total,real_receive_price
2022-08-04 19:55:12,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-04 19:55:12,Signature Cocktail,炙陽,380,1,380,0,0,380
2022-08-04 19:55:12,Signature Cocktail,浮生若夢,400,1,400,0,0,400
2022-08-10 23:20:28,Beer,PERONI draft beer,250,2,500,0,0,500
2022-08-13 01:23:41,Gin,LONEWOLF CACTUS & LIME(Tonic),400,1,400,0,0,400
2022-08-13 01:23:41,Shot,Special Shot,200,2,400,0,0,400
2022-08-13 01:23:41,Gin,G'VINE(Tonic),450,1,450,0,0,450
2022-08-27 22:13:40,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-27 22:13:40,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-27 22:13:40,Classic Cocktail,Cosmopolitan,300,1,300,0,0,300
2022-08-27 22:13:40,Classic Cocktail,God Father,350,1,350,0,0,350
2022-08-27 22:13:40,Classic Cocktail,Old Fashion,350,1,350,0,0,350
2022-08-27 22:13:40,Classic Cocktail,Aviation,350,1,350,0,0,350
2022-08-27 22:13:40,Signature Cocktail,雲嫣,380,1,380,0,0,380
2022-08-27 22:13:40,Classic Cocktail,Negroni,380,1,380,0,0,380
2022-08-27 22:13:40,Classic Cocktail,Mai Tai,380,1,380,0,0,380
2022-08-27 22:13:40,Signature Cocktail,龍柏,400,1,400,0,0,400
2022-08-27 22:13:40,Signature Cocktail,盛夏 (PERONI仲夏限定特調),400,1,400,0,0,400
2022-08-27 22:13:40,Signature Cocktail,浪子之琴,420,1,420,0,0,420
2022-08-13 23:23:13,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-13 23:23:13,Classic Cocktail,Old Fashion,350,1,350,0,0,350
2022-08-13 23:23:13,Signature Cocktail,西方世界,400,1,400,0,0,400
2022-08-13 23:23:13,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-13 23:23:13,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-29 00:10:50,Classic Cocktail,Aviation,350,1,350,0,0,350
2022-08-29 00:10:50,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-14 01:06:51,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-14 01:06:51,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-14 01:06:51,Signature Cocktail,綠洲,400,1,400,0,0,400
2022-08-14 01:06:51,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-14 01:06:51,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-06 02:34:39,Classic Cocktail,Side Car,350,1,350,0,0,350
2022-08-08 00:22:13,Beer,PERONI draft beer,250,1,250,0,86,164
2022-08-08 00:22:13,Beer,PERONI draft beer,250,1,250,0,86,164
2022-08-08 00:22:13,Signature Cocktail,琥珀,380,1,380,0,131,249
2022-08-08 00:22:13,Signature Cocktail,琥珀,380,1,380,0,131,249
2022-08-08 00:22:13,Signature Cocktail,琥珀,380,1,380,0,131,249
2022-08-08 00:22:13,Signature Cocktail,白霜,380,1,380,0,131,249
2022-08-08 00:22:13,Signature Cocktail,琥珀,380,1,380,0,131,249
2022-08-08 00:22:13,Signature Cocktail,龍柏,400,1,400,0,137,263
2022-08-08 00:22:13,Signature Cocktail,雲初之上,400,1,400,0,137,263
2022-08-08 00:22:13,Signature Cocktail,雲初之上,400,1,400,0,137,263
2022-08-08 00:22:13,Signature Cocktail,初夏 (PERONI仲夏限定特調),400,1,400,0,137,263
2022-08-08 00:22:13,Signature Cocktail,尋根,400,1,400,0,137,263
2022-08-08 00:22:13,Signature Cocktail,東方美人,420,1,420,0,144,276
2022-08-08 00:22:13,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,144,276
2022-08-08 00:22:13,Signature Cocktail,山海關,420,1,420,0,144,276
2022-08-08 00:22:13,Beer,PERONI draft beer,250,2,500,0,172,328
2022-08-08 00:22:13,Signature Cocktail,尋根,400,2,800,0,275,525
2022-08-08 00:22:13,Beer,PERONI draft beer,250,4,1000,500,843,157
2022-08-26 21:47:23,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-26 21:47:23,Classic Cocktail,Singapore Sling,380,1,380,0,0,380
2022-08-26 21:47:23,Signature Cocktail,初夏 (PERONI仲夏限定特調),400,1,400,0,0,400
2022-08-27 03:39:11,Signature Cocktail,龍柏,400,1,400,0,0,400
