"分店代碼","分店名稱","建立時間","單號","用餐方式","pos機號","發票號碼","服務費","結帳金額","現金券金額","實收金額","交易金額","淨額","稅額","折扣總額","銷售總額","單品折扣總額","整單折扣總額","折扣名稱","付款方式","員工"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 01:43:12","5","內用",2,"",169,1859,0,1859,1859,1770,89,0,1859,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 01:43:56","9","內用",2,"",272,2742,0,2742,2742,2611,131,250,2992,250,0,"PERONI生啤酒買二送一","現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 01:46:55","1","內用",2,"",0,0,0,0,0,0,0,0,0,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 01:52:22","14","內用",2,"",0,850,0,850,850,810,40,0,850,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 01:54:44","4","內用",2,"",580,6380,0,6380,6380,6076,304,0,6380,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 01:55:35","15","內用",2,"",0,0,0,0,0,0,0,0,0,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-30 23:52:29","3","內用",2,"",0,756,0,756,756,720,36,324,1080,0,324,"整單手動折扣","信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-31 01:32:33","6","內用",2,"",200,2200,0,2200,2200,2095,105,0,2200,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-31 01:39:58","4","內用",2,"",156,1716,0,1716,1716,1634,82,0,1716,0,0,,"LINE Pay","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-31 01:41:09","1","內用",2,"",0,0,0,0,0,0,0,0,0,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-31 01:41:54","5","內用",2,"",239,2629,0,2629,2629,2504,125,0,2629,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-31 22:52:00","5","內用",2,"DK09469950",302,3322,0,3322,3322,3164,158,0,3322,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-31 23:42:31","9","內用",2,"DK09469951",600,5940,0,5940,5940,5657,283,660,6600,0,660,"整單手動折扣","信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 00:02:14","10","內用",2,"FM32358100",361,3971,0,3971,3971,3782,189,0,3971,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 00:02:54","3","內用",2,"FM32358101",811,8921,0,8921,8921,8496,425,0,8921,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 00:19:23","6","內用",2,"",409,4499,0,4499,4499,4285,214,0,4499,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 00:43:39","8","內用",2,"",78,858,0,858,858,817,41,0,858,0,0,,"現金","90466979"
